NHOGAR;HY050N;HY110N;HS040;HS060;HS080;HS090;HS120;HH021;HX040;vhRentaa;vhPobreza;DB040;edad mayor;horas trabajo semanal hogar;MAYORES 16;SEXO mayor;ACT mayor
1699;1800;0;2;2;1;1;3;2;4;12000,3;1;ES61;42;10;1;0;2
1709;0;0;2;2;1;1;2;1;3;13778,6;1;ES61;53;40;3;0;1
1737;0;0;1;1;1;1;4;2;4;53526,9;0;ES62;55;38;4;1;1
1784;0;0;2;2;1;3;1;5;2;0;1;ES62;42;0;1;0;5
1805;0;0;1;1;1;1;4;5;2;25268,9;0;ES62;58;0;2;0;8
1829;0;0;2;2;1;1;1;2;4;12256,7;1;ES62;43;0;2;0;8
1835;0;0;1;2;1;1;2;1;3;13725,2;1;ES62;45;40;2;0;1
1920;0;0;1;2;1;1;2;2;3;6276,22;1;ES22;40;40;1;0;3
1954;0;0;1;1;1;1;4;3;3;16058,6;0;ES11;39;35;1;0;1
2003;0;0;1;1;1;1;4;2;3;24445,5;0;ES12;49;40;1;0;1
2029;0;0;1;1;1;3;5;1;2;11775,4;0;ES12;42;38;1;0;1
2058;0;0;1;1;1;1;4;1;3;3750,23;1;ES12;43;0;1;0;5
2114;0;0;2;2;1;1;1;3;2;26626;0;ES12;39;0;2;0;3
2132;1200;0;2;2;1;3;1;2;2;6259,6;1;ES70;42;22;1;0;2
2133;0;0;2;2;1;3;4;2;3;22082,4;0;ES70;44;40;2;0;1
2151;0;0;2;2;1;1;2;2;3;8147,2;1;ES70;51;0;3;0;5
2153;0;0;1;2;1;1;1;1;2;19021,35;0;ES70;73;0;1;0;10
2154;0;0;1;2;1;1;2;1;2;34757,6;0;ES70;60;38;2;0;1
2193;0;0;2;2;1;1;2;1;3;11487,9;1;ES11;45;39;1;0;1
2195;0;0;2;2;1;2;2;3;2;13051,6;0;ES11;44;40;2;0;1
2213;0;0;1;1;1;1;4;3;3;41993,5;0;ES11;48;40;1;0;1
2255;0;0;1;1;1;1;6;1;3;44192,7;0;ES41;46;40;1;0;1
2317;0;0;1;2;1;1;3;2;2;11624,6;0;ES70;47;40;1;1;1
2327;0;0;1;2;1;3;1;5;2;320;1;ES70;43;0;1;0;5
2337;0;0;1;1;1;1;4;3;2;14326,7;0;ES13;40;30;1;0;2
2377;0;0;2;2;1;1;3;5;2;13177,7;0;ES13;42;40;1;0;1
2410;0;0;1;1;1;1;5;1;2;48495,2;0;ES13;61;37;2;0;1
2414;0;0;2;2;1;2;1;3;3;6170;1;ES13;40;0;1;1;5
2430;0;0;2;2;1;1;1;2;3;14952,03;0;ES61;35;0;1;0;5
2501;0;0;1;2;1;1;3;2;2;17456,8;0;ES51;47;30;2;0;2
2641;0;0;1;1;1;1;3;2;2;19912,6;0;ES52;37;40;1;0;1
2647;0;0;1;2;1;1;2;5;2;17319,5;0;ES52;33;35;1;0;2
2691;0;0;2;2;1;1;1;3;2;13256;0;ES52;36;40;2;0;1
2716;0;0;2;2;1;1;3;1;3;17928,8;0;ES41;59;0;3;0;8
2780;0;0;1;1;1;1;3;1;3;47271;0;ES21;55;35;3;0;1
2795;0;300;2;1;1;2;3;3;2;13500;0;ES21;41;0;1;0;5
2812;0;0;1;1;1;1;3;2;3;31504,1;0;ES21;53;38;3;0;1
2876;0;0;2;2;1;3;2;2;2;2646,1;1;ES24;25;0;1;0;5
2920;0;0;2;2;1;1;2;5;3;6752,9;1;ES24;39;0;1;0;8
2959;0;0;1;2;1;1;2;2;4;26293,2;0;ES24;42;40;1;0;1
2994;0;0;2;2;1;2;1;1;2;8939,1;1;ES64;56;0;1;1;5
3001;290;0;2;2;1;2;1;3;2;6182;1;ES64;36;18;1;0;2
3009;0;0;2;2;1;1;2;5;3;8844,1;1;ES64;29;20;1;0;2
3015;0;0;1;1;1;1;4;2;2;21182,9;0;ES64;57;38;1;0;1
3022;0;0;2;2;1;1;3;2;4;31980;0;ES21;49;35;3;0;1
3024;0;0;1;1;1;1;3;2;3;17665,7;0;ES21;44;40;1;0;1
3036;147;0;1;1;1;1;5;1;2;26227;0;ES21;51;40;1;0;1
3066;0;0;2;2;1;1;1;3;2;9483,97;1;ES42;32;0;1;0;5
3078;0;0;2;2;1;1;2;2;2;43835,7;0;ES42;37;0;1;0;5
3106;0;0;2;2;1;3;1;5;2;9604,71;1;ES52;48;0;1;0;5
3123;0;0;1;1;1;1;1;1;2;20261,9;0;ES52;50;40;2;0;1
3126;0;0;2;2;1;1;1;1;2;21257,8;0;ES52;50;35;1;0;1
3130;290;0;2;2;1;2;1;4;2;340;1;ES52;35;0;1;0;11
3184;0;0;2;2;1;1;1;1;2;10319,2;1;ES52;67;0;1;0;10
3211;0;0;1;2;1;1;2;2;3;12514,3;1;ES61;45;35;1;0;1
3235;0;0;1;2;1;1;3;3;2;13880,7;0;ES41;28;0;1;0;5
